injection,url
W6DL-DY,http://www.marmosetbrain.org/goto/W6DL/c36b/22.66219/13.601924/3
W6DR-FR,http://www.marmosetbrain.org/goto/W6DR/c27b/20.134056/7.924594/3
W6DR-FE,http://www.marmosetbrain.org/goto/W6DR/c29b/21.326013/8.712982/3
W6DR-DY,http://www.marmosetbrain.org/goto/W6DR/c39a/21.916314/12.848072/3
CJ206-CTBr,http://www.marmosetbrain.org/goto/CJ206/c31a/23.179918/14.035935/3
CJ206-FB,http://www.marmosetbrain.org/goto/CJ206/c33a/22.271814/8.596045/3
CJ206-CTBgr,http://www.marmosetbrain.org/goto/CJ206/c27a/17.306046/5.32675/3
CJ1741-DY,http://www.marmosetbrain.org/goto/CJ1741/c7d/4.0949922/4.6958356/3
CJ200L-DY,http://www.marmosetbrain.org/goto/CJ200L/c7d/2.8826452/5.0129984/3
CJ189NM-CTBr,http://www.marmosetbrain.org/goto/CJ189NM/c14c/1.938578/6.02952/3
CJ189NM-FB,http://www.marmosetbrain.org/goto/CJ189NM/c19d/5.46624/4.1843/3
CJ189NM-CTBgr,http://www.marmosetbrain.org/goto/CJ189NM/c17d/2.19584/3.492364/3
CJ189NM-DY,http://www.marmosetbrain.org/goto/CJ189NM/c13b/6.38317/8.24257/3
CJ203NM-CTBr,http://www.marmosetbrain.org/goto/CJ203NM/c15a/3.986042/7.432787/3
CJ203NM-DY,http://www.marmosetbrain.org/goto/CJ203NM/c18c/8.264025/4.693273/3
CJ215-CTBr,http://www.marmosetbrain.org/goto/CJ215/r8b/18.001987/10.517619/3
CJ215-FB,http://www.marmosetbrain.org/goto/CJ215/r14b/12.645999/9.477322/3
CJ215-CTBgr,http://www.marmosetbrain.org/goto/CJ215/r14a/19.331573/11.500108/3
CJ215-DY,http://www.marmosetbrain.org/goto/CJ215/c28b/17.004914/8.312494/3
CJ189MR-CTBr,http://www.marmosetbrain.org/goto/CJ189MR/c14c/1.938577/6.029518/3
CJ189MR-FB,http://www.marmosetbrain.org/goto/CJ189MR/c19d/5.466224/4.184302/3
CJ189MR-CTBgr,http://www.marmosetbrain.org/goto/CJ189MR/c17d/2.19584/3.491939/3
CJ189MR-DY,http://www.marmosetbrain.org/goto/CJ189MR/c13b/6.38317/8.242567/3
CJ215MR-CTBr,http://www.marmosetbrain.org/goto/CJ215MR/r9a/None/None/3
CJ215MR-FB,http://www.marmosetbrain.org/goto/CJ215MR/r14b/None/None/3
CJ215MR-DY,http://www.marmosetbrain.org/goto/CJ215MR/c28b/None/None/3
CJ207-CTBr,http://www.marmosetbrain.org/goto/CJ207/c30b/16.753845/5.660576/3
CJ207-FB,http://www.marmosetbrain.org/goto/CJ207/c33b/21.387527/8.348558/3
CJ207-CTBgr,http://www.marmosetbrain.org/goto/CJ207/c42a/22.348615/12.780753/3
W6E-FB,http://www.marmosetbrain.org/goto/W6E/c33b/21.352369/9.948827/3
W6E-DY,http://www.marmosetbrain.org/goto/W6E/c27b/21.392058/10.03285/3
CJ56NM-FB,http://www.marmosetbrain.org/goto/CJ56NM/c21a/10.47286/8.528453/3
CJ56NM-FR,http://www.marmosetbrain.org/goto/CJ56NM/c24a/10.465825/8.567338/3
CJ56NM-FE,http://www.marmosetbrain.org/goto/CJ56NM/c18a/10.815434/9.857251/3
CJ56NM-DY,http://www.marmosetbrain.org/goto/CJ56NM/c20b/11.640769/10.03654/3
CJ209-CTBr,http://www.marmosetbrain.org/goto/CJ209/c37a/14.763164/3.280936/3
CJ209-FB,http://www.marmosetbrain.org/goto/CJ209/c43b/13.879328/2.692015/3
CJ209-DY,http://www.marmosetbrain.org/goto/CJ209/r22a/21.268243/11.760196/3
CJ209-CTBgr,http://www.marmosetbrain.org/goto/CJ209/c41b/18.897775/7.455949/3
CJ210-CTBr,http://www.marmosetbrain.org/goto/CJ210/c30a/14.403484/4.79619/3
CJ210-FB,http://www.marmosetbrain.org/goto/CJ210/c27b/18.577081/5.964069/3
CJ210-CTBgr,http://www.marmosetbrain.org/goto/CJ210/c23a/14.288952/5.379258/3
W6F-CTBr,http://www.marmosetbrain.org/goto/W6F/c27b/17.729518/5.776252/3
W6F-FB,http://www.marmosetbrain.org/goto/W6F/c29b/22.995347/9.953872/3
W6F-CTBgr,http://www.marmosetbrain.org/goto/W6F/c32a/18.874144/6.228285/3
W6F-DY,http://www.marmosetbrain.org/goto/W6F/c36a/21.370794/8.064049/3
CJ227-CTBr,http://www.marmosetbrain.org/goto/CJ227/r6d/8.01278/10.807971/3
CJ227-FB,http://www.marmosetbrain.org/goto/CJ227/r10d/3.376207/6.05964/3
CJ227-DY,http://www.marmosetbrain.org/goto/CJ227/r7b/10.259361/11.290171/3
CJ227-CTBgr,http://www.marmosetbrain.org/goto/CJ227/r7a/3.721539/9.314979/3
CJ214-CTBr,http://www.marmosetbrain.org/goto/CJ214/r4b/13.44899/9.303328/3
CJ214-FB,http://www.marmosetbrain.org/goto/CJ214/c35a/21.51116/8.260851/3
CJ214-DY,http://www.marmosetbrain.org/goto/CJ214/r5c/11.834334/8.983143/3
CJ214-CTBgr,http://www.marmosetbrain.org/goto/CJ214/c31b/15.562077/4.924975/3
CJ071R-FR,http://www.marmosetbrain.org/goto/CJ071R/r5b/8.764117/10.178256/3
CJ071R-FB,http://www.marmosetbrain.org/goto/CJ071R/r2d/7.459604/9.948791/3
CJ071R-DY,http://www.marmosetbrain.org/goto/CJ071R/r2b/6.606863/10.251961/3
W2B-FR,http://www.marmosetbrain.org/goto/W2B/c30b/20.930546/8.656602/3
W2B-FE,http://www.marmosetbrain.org/goto/W2B/c37b/19.576876/8.331967/3
